Pallet_ID,Location_Code,Product_Code,Product_Name,Product_Category,Temperature_Zone,Lot_Number,Quantity,Unit,Received_Date,Last_Movement_Date,Status,Zone,Aisle,Rack,Position,Level,Expiry_Date,Priority,Customer_Code
PLT-001,RECV-01,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,FREEZER,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-15 08:00:00,ACTIVE,RECEIVING,,,,,2024-12-15,HIGH,CUST-001
PLT-002,RECV-01,PROD-FROZEN-002,Ice Cream Tubs,FROZEN,FREEZER,LOT2024002,36,Cases,2024-08-15 09:00:00,2024-08-15 09:00:00,ACTIVE,RECEIVING,,,,,2024-11-30,HIGH,CUST-002
PLT-003,RECV-01,PROD-FROZEN-003,Frozen Vegetables,FROZEN,FREEZER,LOT2024003,48,Cases,2024-08-15 10:00:00,2024-08-15 10:00:00,ACTIVE,RECEIVING,,,,,2025-02-28,MEDIUM,CUST-003
PLT-004,RECV-02,PROD-DRY-001,Cereal Boxes,DRY,AMBIENT,LOT2024004,60,Cases,2024-08-20 14:00:00,2024-08-20 14:00:00,ACTIVE,RECEIVING,,,,,2025-08-20,MEDIUM,CUST-004
PLT-005,RECV-02,PROD-DRY-002,Pasta Packages,DRY,AMBIENT,LOT2024005,72,Cases,2024-08-21 09:30:00,2024-08-21 09:30:00,ACTIVE,RECEIVING,,,,,2025-12-21,LOW,CUST-005
PLT-006,01-A-01-A,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-22 10:00:00,ACTIVE,GENERAL,01,A,01,A,2024-12-15,HIGH,CUST-001
PLT-007,01-A-02-B,PROD-CHEM-001,Industrial Cleaner,CHEMICAL,AMBIENT,LOT2024006,12,Bottles,2024-08-18 11:00:00,2024-08-22 11:00:00,ACTIVE,GENERAL,01,A,02,B,2026-08-18,HIGH,CUST-006
PLT-008,01-A-03-C,PROD-FOOD-001,Canned Tomatoes,FOOD,AMBIENT,LOT2024007,96,Cans,2024-08-19 13:00:00,2024-08-22 13:00:00,ACTIVE,GENERAL,01,A,03,C,2026-08-19,MEDIUM,CUST-007
PLT-009,01-A-04-D,PROD-PHARMA-001,Antibiotics,PHARMACEUTICAL,COLD,LOT2024008,48,Bottles,2024-08-20 15:00:00,2024-08-22 15:00:00,ACTIVE,GENERAL,01,A,04,D,2025-08-20,CRITICAL,CUST-008
PLT-010,01-A-05-A,PROD-DRY-001,Cereal Boxes,DRY,AMBIENT,LOT2024004,60,Cases,2024-08-20 14:00:00,2024-08-22 16:00:00,ACTIVE,GENERAL,01,A,05,A,2025-08-20,MEDIUM,CUST-004
PLT-011,01-B-01-A,PROD-FROZEN-002,Ice Cream Tubs,FROZEN,FREEZER,LOT2024009,36,Cases,2024-08-16 12:00:00,2024-08-20 10:00:00,ACTIVE,GENERAL,01,B,01,A,2024-11-30,HIGH,CUST-002
PLT-012,01-B-02-B,PROD-FROZEN-003,Frozen Vegetables,FROZEN,FREEZER,LOT2024010,48,Cases,2024-08-17 14:00:00,2024-08-19 14:00:00,ACTIVE,GENERAL,01,B,02,B,2025-02-28,MEDIUM,CUST-003
PLT-013,01-B-03-C,PROD-DRY-002,Pasta Packages,DRY,AMBIENT,LOT2024011,72,Cases,2024-08-18 16:00:00,2024-08-18 16:00:00,ACTIVE,GENERAL,01,B,03,C,2025-12-21,LOW,CUST-005
PLT-014,01-B-04-D,PROD-CHEM-002,Disinfectant Spray,CHEMICAL,AMBIENT,LOT2024012,24,Bottles,2024-08-19 18:00:00,2024-08-19 18:00:00,ACTIVE,GENERAL,01,B,04,D,2026-08-19,HIGH,CUST-009
PLT-015,01-B-05-A,PROD-FOOD-002,Olive Oil Bottles,FOOD,AMBIENT,LOT2024013,36,Bottles,2024-08-20 20:00:00,2024-08-20 20:00:00,ACTIVE,GENERAL,01,B,05,A,2026-08-20,MEDIUM,CUST-010
PLT-016,01-C-01-A,PROD-PHARMA-002,Pain Relievers,PHARMACEUTICAL,AMBIENT,LOT2024014,60,Bottles,2024-08-21 09:00:00,2024-08-21 09:00:00,ACTIVE,GENERAL,01,C,01,A,2025-08-21,HIGH,CUST-011
PLT-017,01-C-02-B,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,FREEZER,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-21 10:00:00,ACTIVE,GENERAL,01,C,02,B,2024-12-15,HIGH,CUST-001
PLT-018,01-C-03-C,PROD-DRY-003,Rice Bags,DRY,AMBIENT,LOT2024015,120,Bags,2024-08-22 11:00:00,2024-08-22 11:00:00,ACTIVE,GENERAL,01,C,03,C,2025-08-22,LOW,CUST-012
PLT-019,01-C-04-D,PROD-CHEM-001,Industrial Cleaner,CHEMICAL,AMBIENT,LOT2024006,12,Bottles,2024-08-18 11:00:00,2024-08-22 12:00:00,ACTIVE,GENERAL,01,C,04,D,2026-08-18,HIGH,CUST-006
PLT-020,01-C-05-A,PROD-FOOD-003,Chocolate Bars,FOOD,AMBIENT,LOT2024016,84,Bars,2024-08-23 13:00:00,2024-08-23 13:00:00,ACTIVE,GENERAL,01,C,05,A,2025-02-23,MEDIUM,CUST-013
PLT-021,01-D-01-A,PROD-FROZEN-004,Frozen French Fries,FROZEN,FREEZER,LOT2024017,48,Cases,2024-08-24 14:00:00,2024-08-24 14:00:00,ACTIVE,GENERAL,01,D,01,A,2025-02-24,HIGH,CUST-014
PLT-022,01-D-02-B,PROD-PHARMA-003,Vitamins,PHARMACEUTICAL,AMBIENT,LOT2024018,72,Bottles,2024-08-25 15:00:00,2024-08-25 15:00:00,ACTIVE,GENERAL,01,D,02,B,2026-02-25,MEDIUM,CUST-015
PLT-023,01-D-03-C,PROD-DRY-004,Coffee Beans,DRY,AMBIENT,LOT2024019,96,Bags,2024-08-26 16:00:00,2024-08-26 16:00:00,ACTIVE,GENERAL,01,D,03,C,2025-08-26,HIGH,CUST-016
PLT-024,01-D-04-D,PROD-CHEM-003,Bleach Bottles,CHEMICAL,AMBIENT,LOT2024020,18,Bottles,2024-08-27 17:00:00,2024-08-27 17:00:00,ACTIVE,GENERAL,01,D,04,D,2026-08-27,HIGH,CUST-017
PLT-025,01-D-05-A,PROD-FOOD-004,Cooking Sauce Jars,FOOD,AMBIENT,LOT2024021,60,Jars,2024-08-28 18:00:00,2024-08-28 18:00:00,ACTIVE,GENERAL,01,D,05,A,2025-08-28,MEDIUM,CUST-018
PLT-026,STAGE-01,PROD-FROZEN-002,Ice Cream Tubs,FROZEN,FREEZER,LOT2024022,36,Cases,2024-08-29 19:00:00,2024-08-29 19:00:00,ACTIVE,STAGING,,,,,2024-11-30,HIGH,CUST-019
PLT-027,STAGE-01,PROD-DRY-005,Tea Boxes,DRY,AMBIENT,LOT2024023,48,Cases,2024-08-30 20:00:00,2024-08-30 20:00:00,ACTIVE,STAGING,,,,,2025-08-30,MEDIUM,CUST-020
PLT-028,DOCK-01,PROD-PHARMA-004,Cough Syrup,PHARMACEUTICAL,AMBIENT,LOT2024024,24,Bottles,2024-08-31 21:00:00,2024-08-31 21:00:00,ACTIVE,DOCK,,,,,2025-08-31,HIGH,CUST-021
PLT-029,DOCK-01,PROD-CHEM-004,Window Cleaner,CHEMICAL,AMBIENT,LOT2024025,30,Bottles,2024-09-01 08:00:00,2024-09-01 08:00:00,ACTIVE,DOCK,,,,,2026-09-01,MEDIUM,CUST-022
PLT-030,INVALID-LOC,PROD-DRY-006,Snack Chips,DRY,AMBIENT,LOT2024026,72,Bags,2024-09-02 09:00:00,2024-09-02 09:00:00,ACTIVE,UNKNOWN,,,,,2025-03-02,LOW,CUST-023
PLT-031,,PROD-FOOD-005,Cooking Oil Gallons,FOOD,AMBIENT,LOT2024027,12,Gallons,2024-09-03 10:00:00,2024-09-03 10:00:00,ACTIVE,UNKNOWN,,,,,2025-09-03,MEDIUM,CUST-024
PLT-032,01-A-01-A,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-09-04 11:00:00,ACTIVE,GENERAL,01,A,01,A,2024-12-15,HIGH,CUST-001
PLT-033,01-A-01-B,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-09-05 12:00:00,ACTIVE,GENERAL,01,A,01,B,2024-12-15,HIGH,CUST-001
PLT-034,01-A-01-C,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-09-06 13:00:00,ACTIVE,GENERAL,01,A,01,C,2024-12-15,HIGH,CUST-001
PLT-035,01-A-01-D,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-09-07 14:00:00,ACTIVE,GENERAL,01,A,01,D,2024-12-15,HIGH,CUST-001
PLT-036,01-A-02-A,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-09-08 15:00:00,ACTIVE,GENERAL,01,A,02,A,2024-12-15,HIGH,CUST-001
PLT-037,RECV-01,PROD-FROZEN-005,Frozen Burgers,FROZEN,FREEZER,LOT2024028,60,Cases,2024-08-10 06:00:00,2024-08-10 06:00:00,ACTIVE,RECEIVING,,,,,2024-12-10,HIGH,CUST-025
PLT-038,RECV-01,PROD-DRY-007,Breakfast Cereal,DRY,AMBIENT,LOT2024029,48,Cases,2024-08-05 07:00:00,2024-08-05 07:00:00,ACTIVE,RECEIVING,,,,,2025-08-05,MEDIUM,CUST-026
PLT-039,RECV-02,PROD-CHEM-005,Floor Cleaner,CHEMICAL,AMBIENT,LOT2024030,36,Bottles,2024-07-30 08:00:00,2024-07-30 08:00:00,ACTIVE,RECEIVING,,,,,2026-07-30,HIGH,CUST-027
PLT-040,01-B-03-C,PROD-DRY-002,Pasta Packages,DRY,AMBIENT,LOT2024011,72,Cases,2024-08-18 16:00:00,2024-08-18 16:00:00,ACTIVE,GENERAL,01,B,03,C,2025-12-21,LOW,CUST-005
PLT-041,01-C-02-B,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,FREEZER,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-21 10:00:00,ACTIVE,GENERAL,01,C,02,B,2024-12-15,HIGH,CUST-001
PLT-042,01-A-06-A,PROD-DRY-008,Granola Bars,DRY,AMBIENT,LOT2024031,84,Bars,2024-09-09 16:00:00,2024-09-09 16:00:00,ACTIVE,GENERAL,01,A,06,A,2025-09-09,LOW,CUST-028
PLT-043,01-A-30-A,PROD-FOOD-006,Jam Jars,FOOD,AMBIENT,LOT2024032,96,Jars,2024-09-10 17:00:00,2024-09-10 17:00:00,ACTIVE,GENERAL,01,A,30,A,2025-09-10,MEDIUM,CUST-029
PLT-044,01-E-01-A,PROD-PHARMA-005,Hand Sanitizer,PHARMACEUTICAL,AMBIENT,LOT2024033,120,Bottles,2024-09-11 18:00:00,2024-09-11 18:00:00,ACTIVE,GENERAL,01,E,01,A,2026-09-11,HIGH,CUST-030
PLT-045,AISLE-01,PROD-FROZEN-006,Frozen Waffles,FROZEN,FREEZER,LOT2024034,48,Cases,2024-09-12 19:00:00,2024-09-12 19:00:00,ACTIVE,TRANSITIONAL,,,,,2025-03-12,MEDIUM,CUST-031
PLT-046,01-A-01-A,PROD-CHEM-006,Ammonia Cleaner,CHEMICAL,AMBIENT,LOT2024035,18,Bottles,2024-09-13 20:00:00,2024-09-13 20:00:00,ACTIVE,GENERAL,01,A,01,A,2026-09-13,HIGH,CUST-032
PLT-047,01-A-01-A,PROD-FOOD-007,Peanut Butter Jars,FOOD,AMBIENT,LOT2024036,72,Jars,2024-09-14 21:00:00,2024-09-14 21:00:00,ACTIVE,GENERAL,01,A,01,A,2025-09-14,MEDIUM,CUST-033
PLT-048,01-B-01-A,PROD-PHARMA-001,Antibiotics,PHARMACEUTICAL,FREEZER,LOT2024037,48,Bottles,2024-09-15 08:00:00,2024-09-15 08:00:00,ACTIVE,GENERAL,01,B,01,A,2025-09-15,CRITICAL,CUST-034
PLT-049,01-C-01-A,PROD-FROZEN-007,Frozen Seafood,FROZEN,AMBIENT,LOT2024038,36,Cases,2024-09-16 09:00:00,2024-09-16 09:00:00,ACTIVE,GENERAL,01,C,01,A,2024-12-16,HIGH,CUST-035
PLT-050,01-D-01-A,PROD-DRY-009,Instant Noodles,DRY,COLD,LOT2024039,144,Cups,2024-09-17 10:00:00,2024-09-17 10:00:00,ACTIVE,GENERAL,01,D,01,A,2025-09-17,LOW,CUST-036